Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
47;19916;"Research in Sports Medicine";journal;"15438635, 15438627";"Taylor and Francis Ltd.";No;No;0,857;Q2;54;71;154;2402;455;154;2,52;33,83;31,93;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2026";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Medicine (miscellaneous) (Q2); Sports Science (Q2)";"Health Professions; Medicine"
48;29890;"Strength and Conditioning Journal";journal;"15334295, 15241602";"Lippincott Williams and Wilkins";No;No;0,849;Q2;68;66;213;4135;544;207;2,30;62,65;17,62;0;United States;Northern America;"Lippincott Williams and Wilkins";"1996-2025";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
49;23483;"Knee";journal;"18735800, 09680160";"Elsevier B.V.";No;No;0,839;Q2;102;211;697;7132;1428;647;1,79;33,80;19,44;0;Netherlands;Western Europe;"Elsevier B.V.";"1994-2026";"Orthopedics and Sports Medicine (Q1); Sports Science (Q2)";"Health Professions; Medicine"
50;14897;"Journal of Electromyography and Kinesiology";journal;"18735711, 10506411";"Elsevier Ltd";No;No;0,825;Q2;123;69;232;3044;597;229;2,03;44,12;29,46;1;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2026";"Biophysics (Q1); Neurology (clinical) (Q2); Neuroscience (miscellaneous) (Q2); Sports Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Neuroscience"
51;15000154801;"Journal of Human Kinetics";journal;"16405544, 18997562";"Termedia Publishing House Ltd.";Yes;No;0,808;Q2;66;87;357;3549;979;357;2,07;40,79;22,42;0;Poland;Eastern Europe;"Termedia Publishing House Ltd.";"2008-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Physiology (medical) (Q2); Sports Science (Q2)";"Health Professions; Medicine"
52;12272;"Journal of Rehabilitation Medicine";journal;"16512081, 16501977";"Medical Journals Sweden AB";Yes;No;0,808;Q2;121;93;362;3323;1016;344;2,43;35,73;54,20;1;Sweden;Western Europe;"Medical Journals Sweden AB";"2001-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Medicine (miscellaneous) (Q2); Sports Science (Q2)";"Health Professions; Medicine"
53;19915;"Physician and Sportsmedicine";journal;"23263660, 00913847";"Taylor and Francis Ltd.";No;No;0,804;Q2;63;79;214;3161;580;206;2,53;40,01;26,12;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-2005, 2008-2026";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine"
54;21472;"Journal of Teaching in Physical Education";journal;"02735024, 15432769";"Human Kinetics Publishers Inc.";No;No;0,797;Q2;76;77;211;3902;462;206;2,11;50,68;39,91;2;United States;Northern America;"Human Kinetics Publishers Inc.";"1986, 1992-1993, 1996-2026";"Education (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine; Social Sciences"
55;11800154592;"Journal of Sports Economics";journal;"15270025, 15527794";"SAGE Publications Ltd";No;No;0,777;Q2;63;42;121;1679;268;120;2,04;39,98;11,11;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sports Science (Q2)";"Economics, Econometrics and Finance; Health Professions"
56;40900;"International Journal of Sport Nutrition and Exercise Metabolism";journal;"1526484X, 15432742";"Human Kinetics Publishers Inc.";No;No;0,763;Q2;98;39;164;1460;388;157;2,32;37,44;34,30;0;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-1998, 2000-2026";"Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";"Health Professions; Medicine; Nursing"
